,income,weight
0,0.017599,210.1282
1,0.025303,210.1282
2,0.034667,210.1282
3,0.038855,210.1282
4,0.050986,210.1282
5,1.026547,210.1282
6,0.051899,210.1282
7,3.411604,210.1282
8,0.057497,210.1282
9,0.062904,210.1282
10,2.129347,210.1282
11,0.661149,210.1282
12,0.065116,210.1282
13,0.066241,210.1282
14,0.066284,210.1282
15,0.715999,210.1282
16,0.067232,210.1282
17,0.068563,210.1282
18,0.069287,210.1282
19,0.069819,210.1282
20,0.069992,210.1282
21,0.07035,210.1282
22,0.070749,210.1282
23,0.071551,210.1282
24,0.071923,210.1282
25,0.07233,210.1282
26,0.072841,210.1282
27,0.073044,210.1282
28,0.075658,210.1282
29,0.076337,210.1282
30,0.07674,210.1282
31,0.077292,210.1282
32,0.078882,210.1282
33,0.392863,210.1282
34,0.081361,210.1282
35,0.402578,210.1282
36,0.230307,210.1282
37,0.083052,210.1282
38,1.134157,210.1282
39,0.086188,210.1282
40,0.086317,210.1282
41,1.918189,210.1282
42,0.08759,210.1282
43,0.087738,210.1282
44,0.089764,210.1282
45,0.094477,210.1282
46,0.094767,210.1282
47,0.095479,210.1282
48,0.095889,210.1282
49,0.096766,210.1282
50,0.097458,210.1282
51,0.09767,210.1282
52,2.432104,210.1282
53,0.965844,210.1282
54,0.098835,210.1282
55,0.099095,210.1282
56,1.289775,210.1282
57,0.10042,210.1282
58,0.730092,210.1282
59,0.979465,210.1282
60,0.172727,210.1282
61,0.101757,210.1282
62,0.102992,210.1282
63,0.103108,210.1282
64,0.103683,210.1282
65,0.104183,210.1282
66,0.104445,210.1282
67,0.108652,210.1282
68,0.10906,210.1282
69,1.238087,210.1282
70,0.110708,210.1282
71,0.469549,210.1282
72,1.034976,210.1282
73,0.112092,210.1282
74,0.755721,210.1282
75,4.010721,210.1282
76,0.784892,210.1282
77,0.116072,210.1282
78,0.117143,210.1282
79,0.15774,210.1282
80,0.11869,210.1282
81,0.118833,210.1282
82,0.119291,210.1282
83,0.119418,210.1282
84,0.119489,210.1282
85,0.119866,210.1282
86,0.119951,210.1282
87,0.120523,210.1282
88,0.120557,210.1282
89,0.120767,210.1282
90,1.377292,210.1282
91,0.121074,210.1282
92,0.121574,210.1282
93,2.757495,210.1282
94,0.121977,210.1282
95,0.123914,210.1282
96,0.302902,210.1282
97,0.124496,210.1282
98,0.125754,210.1282
99,0.126662,210.1282
100,0.919689,210.1282
101,0.12732,210.1282
102,0.127369,210.1282
103,0.707164,210.1282
104,0.433213,210.1282
105,1.435512,210.1282
106,0.12945,210.1282
107,0.130614,210.1282
108,0.130731,210.1282
109,0.638468,210.1282
110,0.131915,210.1282
111,0.298557,210.1282
112,0.133764,210.1282
113,0.134141,210.1282
114,3.95441,210.1282
115,0.135965,210.1282
116,0.136939,210.1282
117,0.138327,210.1282
118,0.138544,210.1282
119,0.138988,210.1282
120,0.139823,210.1282
121,0.140071,210.1282
122,3.455185,210.1282
123,0.140471,210.1282
124,1.367624,210.1282
125,0.141377,210.1282
126,2.185052,210.1282
127,0.142796,210.1282
128,0.142842,210.1282
129,0.143412,210.1282
130,0.143439,210.1282
131,0.809532,210.1282
132,0.765379,210.1282
133,0.14632,210.1282
134,0.147451,210.1282
135,0.147492,210.1282
136,0.148172,210.1282
137,0.148477,210.1282
138,0.148629,210.1282
139,0.149093,210.1282
140,0.149287,210.1282
